id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Autumn Strings,The Hollow Quartet,classical,melancholy,0.22,68,0.30,0.25,0.98
12,City Moves,Drayven,hip-hop,confident,0.72,92,0.68,0.86,0.08
13,Slow Burn,Velvet Theory,r&b,romantic,0.55,84,0.76,0.70,0.30
14,Porch Light,June Hollow,folk,nostalgic,0.30,96,0.58,0.38,0.94
15,Drop Zone,Phasecraft,edm,euphoric,0.96,140,0.88,0.94,0.02
16,Delta Dust,Blind River,blues,melancholy,0.34,74,0.28,0.48,0.82
17,Salsa Night,Los Fuego,latin,festive,0.85,168,0.92,0.91,0.28
18,Ironclad,Fault Line,metal,angry,0.97,176,0.22,0.55,0.04
